,customer_id,Cluster
13443,1386,Extended Household
13310,36146,Extended Household
13419,30351,Extended Household
13412,4854,Extended Household
13322,37893,Extended Household
13324,10108,Extended Household
13330,8064,Extended Household
13333,20701,Extended Household
3729,14971,Extended Household
13343,3451,Extended Household
13350,26316,Extended Household
13418,19561,Extended Household
13357,30565,Extended Household
13372,27215,Extended Household
13384,27691,Extended Household
13385,26556,Extended Household
13391,33876,Extended Household
13392,27984,Extended Household
13406,12999,Extended Household
13410,2294,Extended Household
13364,29294,Extended Household
13488,33980,Extended Household
13064,38112,Extended Household
13045,38568,Extended Household
12741,28483,Extended Household
12750,32768,Extended Household
12754,27247,Extended Household
12766,16232,Extended Household
12768,32184,Extended Household
12770,30888,Extended Household
12772,12766,Extended Household
12740,23170,Extended Household
12781,24963,Extended Household
3824,27907,Extended Household
12786,34314,Extended Household
12793,28211,Extended Household
12794,34001,Extended Household
12799,16788,Extended Household
12814,25920,Extended Household
3818,18861,Extended Household
12782,34592,Extended Household
12820,18932,Extended Household
12732,19407,Extended Household
12729,7162,Extended Household
12633,11091,Extended Household
12647,35834,Extended Household
12654,33941,Extended Household
3850,34811,Extended Household
12662,21376,Extended Household
12665,5030,Extended Household
12668,38049,Extended Household
3836,17506,Extended Household
12673,29903,Extended Household
12684,14828,Extended Household
12687,9605,Extended Household
12706,27587,Extended Household
12708,29066,Extended Household
12716,30257,Extended Household
12722,31155,Extended Household
12723,2049,Extended Household
12676,33194,Extended Household
13057,2074,Extended Household
3816,23590,Extended Household
12826,2898,Extended Household
12948,26329,Extended Household
12949,21190,Extended Household
3791,25639,Extended Household
12973,36976,Extended Household
3789,13289,Extended Household
3788,6760,Extended Household
12987,13379,Extended Household
12947,2571,Extended Household
12991,4062,Extended Household
12994,10269,Extended Household
12997,29832,Extended Household
13019,33264,Extended Household
13020,25371,Extended Household
13038,34454,Extended Household
13041,28989,Extended Household
13044,26280,Extended Household
12993,4732,Extended Household
12825,5075,Extended Household
12944,18614,Extended Household
12940,1980,Extended Household
12849,38608,Extended Household
12851,26014,Extended Household
12854,3139,Extended Household
12858,34705,Extended Household
3809,39857,Extended Household
12861,21241,Extended Household
12865,33111,Extended Household
12943,27278,Extended Household
12871,26562,Extended Household
12879,33511,Extended Household
12885,6728,Extended Household
3802,38666,Extended Household
12888,4527,Extended Household
12904,8079,Extended Household
12908,23717,Extended Household
12939,22170,Extended Household
12876,1595,Extended Household
13489,33908,Extended Household
13494,29261,Extended Household
13498,23337,Extended Household
14127,33949,Extended Household
14142,14100,Extended Household
14145,30433,Extended Household
14165,6948,Extended Household
14179,34765,Extended Household
